ImageNumber,ExpectedValue,InOptions,OptionPosition
139,4,OUI,0
140,7,NON,-1
141,7,OUI,0
142,4,OUI,4
143,2,OUI,5
144,8,NON,-1
145,5,NON,-1
146,8,NON,-1
147,6,NON,-1
148,7,NON,-1
149,3,NON,-1
150,4,NON,-1
151,6,OUI,1
152,1,OUI,2
153,9,NON,-1
154,9,NON,-1
155,6,NON,-1
156,0,OUI,3
157,3,NON,-1
158,7,NON,-1
159,2,OUI,0
160,8,NON,-1
161,2,OUI,3
162,9,OUI,2
163,4,OUI,15
164,4,NON,-1
165,6,NON,-1
166,4,OUI,13
167,9,OUI,2
168,7,OUI,0
169,0,NON,-1
170,9,NON,-1
171,2,OUI,0
172,9,NON,-1
173,5,OUI,2
174,1,NON,-1
175,5,NON,-1
176,9,NON,-1
177,1,OUI,25
178,2,NON,-1
179,3,NON,-1
180,2,NON,-1
181,3,NON,-1
182,5,OUI,3
183,9,NON,-1
184,1,OUI,1
185,7,OUI,0
186,6,NON,-1
187,2,OUI,0
188,8,OUI,1
189,2,OUI,1
190,2,OUI,9
191,5,NON,-1
192,0,NON,-1
193,7,NON,-1
194,4,OUI,22
195,9,NON,-1
196,7,NON,-1
197,8,NON,-1
198,3,NON,-1
199,2,OUI,0
200,1,OUI,21
201,1,NON,-1
202,8,NON,-1
203,3,OUI,4
204,6,NON,-1
205,1,NON,-1
206,0,NON,-1
207,3,NON,-1
208,1,OUI,37
209,0,NON,-1
210,0,OUI,1
211,1,OUI,5
212,7,NON,-1
213,2,NON,-1
214,7,NON,-1
215,3,NON,-1
216,0,OUI,1
217,4,OUI,0
218,6,NON,-1
219,5,NON,-1
220,2,OUI,6
221,6,OUI,3
222,4,OUI,4
223,7,OUI,0
224,1,NON,-1
225,8,NON,-1
226,9,NON,-1
227,9,OUI,0
228,3,NON,-1
229,0,NON,-1
230,7,NON,-1
231,1,OUI,3
232,0,OUI,3
233,2,NON,-1
234,0,OUI,24
235,3,OUI,0
236,5,NON,-1
237,4,NON,-1
238,6,NON,-1
239,5,OUI,3
240,8,NON,-1
241,6,NON,-1
242,3,OUI,4
243,7,OUI,0
244,5,OUI,0
245,8,NON,-1
246,0,NON,-1
247,9,OUI,2
248,1,NON,-1
249,0,NON,-1
250,3,OUI,2
251,1,OUI,2
252,2,OUI,6
253,2,NON,-1
254,3,OUI,60
255,3,NON,-1
256,6,OUI,2
257,4,OUI,21
258,7,NON,-1
259,5,NON,-1
260,0,NON,-1
261,6,NON,-1
262,2,OUI,22
263,7,OUI,0
264,9,NON,-1
265,8,NON,-1
266,5,NON,-1
267,9,OUI,0
268,2,NON,-1
269,1,OUI,2
270,1,OUI,7
271,4,NON,-1
272,4,OUI,30
273,5,OUI,2
274,6,OUI,5
275,4,NON,-1
276,1,OUI,7
277,2,NON,-1
278,5,NON,-1
279,3,NON,-1
280,9,OUI,0
281,3,OUI,0
282,9,NON,-1
283,0,OUI,3
284,5,NON,-1
285,9,NON,-1
286,6,OUI,0
287,5,OUI,6
288,7,NON,-1
289,4,NON,-1
290,1,NON,-1
291,3,NON,-1
292,4,OUI,0
293,0,NON,-1
294,4,NON,-1
295,8,OUI,3
296,0,OUI,12
297,4,OUI,0
298,3,OUI,24
299,6,NON,-1
300,8,NON,-1
301,7,OUI,0
302,6,OUI,4
303,0,NON,-1
304,9,NON,-1
305,7,OUI,4
306,5,OUI,4
307,7,NON,-1
308,2,NON,-1
309,1,OUI,24
310,1,OUI,6
311,6,NON,-1
312,8,NON,-1
313,9,OUI,0
314,4,NON,-1
315,1,OUI,3
316,5,OUI,0
317,2,NON,-1
318,2,OUI,4
319,9,NON,-1
320,0,OUI,0
321,3,OUI,0
322,9,NON,-1
323,6,OUI,10
324,7,OUI,9
325,2,OUI,28
326,0,NON,-1
327,3,NON,-1
328,5,NON,-1
329,4,OUI,20
330,3,NON,-1
331,6,NON,-1
332,5,OUI,20
333,8,NON,-1
334,9,NON,-1
335,5,NON,-1
336,4,OUI,7
337,7,NON,-1
338,4,OUI,1
339,2,NON,-1
340,7,NON,-1
341,3,OUI,0
342,4,NON,-1
343,8,NON,-1
344,9,OUI,22
345,1,NON,-1
346,9,OUI,0
347,2,NON,-1
348,8,OUI,3
349,7,OUI,0
350,9,NON,-1
351,1,OUI,20
352,8,NON,-1
353,7,NON,-1
354,4,NON,-1
355,1,OUI,17
356,3,NON,-1
357,1,NON,-1
358,1,OUI,15
359,0,NON,-1
360,2,OUI,6
361,3,OUI,0
362,9,NON,-1
363,4,OUI,8
364,9,NON,-1
365,2,OUI,2
366,1,OUI,6
367,6,OUI,12
368,8,NON,-1
369,4,OUI,3
370,7,NON,-1
371,7,NON,-1
372,4,OUI,0
373,4,OUI,5
374,9,NON,-1
375,2,NON,-1
376,5,NON,-1
377,7,OUI,0
378,2,NON,-1
379,4,OUI,20
380,4,OUI,8
381,2,NON,-1
382,1,OUI,5
383,9,OUI,0
384,7,NON,-1
385,2,NON,-1
386,8,NON,-1
387,7,OUI,0
388,6,NON,-1
389,9,OUI,0
390,2,OUI,0
391,2,OUI,25
392,3,OUI,37
393,8,OUI,6
394,1,OUI,10
395,6,NON,-1
396,5,OUI,2
397,1,NON,-1
398,1,NON,-1
399,0,OUI,6
400,2,NON,-1
401,6,NON,-1
402,4,OUI,0
403,5,OUI,23
404,8,OUI,0
405,3,OUI,0
406,1,OUI,12
407,5,NON,-1
408,1,OUI,3
409,9,NON,-1
410,2,OUI,7
411,7,OUI,0
412,4,NON,-1
413,4,OUI,20
414,4,OUI,0
415,8,NON,-1
416,1,OUI,2
417,5,OUI,5
418,8,NON,-1
419,9,OUI,0
420,5,OUI,6
421,6,NON,-1
422,7,OUI,0
423,9,OUI,0
424,9,NON,-1
425,3,OUI,0
426,7,OUI,0
427,0,OUI,1
428,9,NON,-1
429,0,NON,-1
430,6,NON,-1
431,6,NON,-1
432,2,OUI,7
433,3,NON,-1
434,9,NON,-1
435,0,NON,-1
436,7,NON,-1
437,5,OUI,2
438,4,OUI,0
439,8,NON,-1
440,0,NON,-1
441,9,NON,-1
442,4,OUI,17
443,1,NON,-1
444,2,NON,-1
445,8,NON,-1
446,7,NON,-1
447,1,OUI,26
448,2,NON,-1
449,6,NON,-1
450,1,OUI,14
451,0,OUI,2
452,3,OUI,0
453,0,NON,-1
454,1,NON,-1
455,1,OUI,1
456,8,NON,-1
457,2,OUI,2
458,0,OUI,10
459,3,OUI,0
460,9,NON,-1
461,4,OUI,36
462,0,OUI,9
463,5,OUI,3
464,0,NON,-1
465,6,NON,-1
466,1,OUI,22
467,7,OUI,2
468,7,NON,-1
469,8,NON,-1
470,1,NON,-1
471,9,NON,-1
472,2,OUI,5
473,0,OUI,17
474,5,OUI,2
475,1,NON,-1
476,2,OUI,17
477,2,OUI,0
478,7,NON,-1
479,3,OUI,0
480,5,OUI,3
481,4,OUI,20
482,9,NON,-1
483,7,NON,-1
484,1,OUI,7
485,8,NON,-1
486,3,OUI,1
487,9,OUI,0
488,6,NON,-1
489,0,OUI,19
490,3,NON,-1
491,1,NON,-1
492,1,NON,-1
493,2,NON,-1
494,6,OUI,0
495,3,NON,-1
496,5,OUI,18
497,7,NON,-1
498,6,NON,-1
499,8,NON,-1
500,3,NON,-1
501,9,NON,-1
502,5,NON,-1
503,8,NON,-1
504,5,OUI,6
505,7,NON,-1
506,6,NON,-1
507,1,OUI,2
508,1,OUI,4
509,3,OUI,9
510,1,NON,-1
511,7,OUI,0
512,5,OUI,2
513,5,OUI,16
514,5,OUI,19
515,2,NON,-1
516,5,OUI,3
517,8,NON,-1
518,7,NON,-1
519,0,OUI,4
520,9,NON,-1
521,7,OUI,0
522,7,OUI,0
523,5,OUI,2
524,0,OUI,15
525,9,NON,-1
526,0,NON,-1
527,0,OUI,7
528,8,NON,-1
529,9,NON,-1
530,2,OUI,0
531,4,OUI,3
532,8,OUI,3
533,1,NON,-1
534,6,NON,-1
535,1,OUI,12
536,6,NON,-1
537,5,NON,-1
538,1,OUI,5
539,8,NON,-1
540,3,NON,-1
541,4,OUI,16
542,0,OUI,5
543,5,NON,-1
544,5,OUI,2
545,8,NON,-1
546,3,NON,-1
547,6,NON,-1
548,2,NON,-1
549,3,NON,-1
550,9,OUI,4
551,2,NON,-1
552,1,OUI,2
553,1,NON,-1
554,5,OUI,5
555,2,NON,-1
556,1,NON,-1
557,3,NON,-1
558,2,OUI,25
559,8,NON,-1
560,7,NON,-1
561,3,OUI,0
562,7,OUI,0
563,2,OUI,3
564,4,OUI,2
565,6,NON,-1
566,9,OUI,2
567,7,NON,-1
568,2,OUI,1
569,4,OUI,16
570,2,NON,-1
571,8,OUI,3
572,1,OUI,12
573,1,OUI,9
574,3,NON,-1
575,8,NON,-1
576,4,OUI,0
577,0,OUI,4
578,6,NON,-1
579,5,OUI,2
580,9,NON,-1
581,3,OUI,0
582,0,OUI,0
583,9,NON,-1
584,2,NON,-1
585,4,OUI,14
586,7,OUI,2
587,1,NON,-1
588,2,NON,-1
589,9,NON,-1
590,4,OUI,29
591,2,OUI,0
592,6,OUI,5
593,1,NON,-1
594,8,OUI,3
595,9,OUI,2
596,0,NON,-1
597,6,NON,-1
598,6,NON,-1
599,7,OUI,0
600,9,OUI,2
601,9,NON,-1
602,8,OUI,1
603,0,OUI,8
604,1,OUI,22
605,4,OUI,7
606,4,NON,-1
607,6,OUI,0
608,7,OUI,3
609,1,OUI,2
610,5,NON,-1
611,7,OUI,0
612,0,OUI,1
613,3,OUI,0
614,5,NON,-1
615,8,NON,-1
616,4,OUI,0
617,7,NON,-1
618,1,OUI,10
619,2,OUI,22
620,5,NON,-1
621,9,NON,-1
622,5,OUI,2
623,6,NON,-1
624,7,NON,-1
625,5,NON,-1
626,9,NON,-1
627,8,NON,-1
628,8,OUI,4
629,3,OUI,0
630,6,NON,-1
631,9,NON,-1
632,7,NON,-1
633,0,NON,-1
634,7,OUI,0
635,5,OUI,2
636,7,NON,-1
637,1,NON,-1
638,1,OUI,8
639,0,NON,-1
640,7,NON,-1
641,9,NON,-1
642,2,NON,-1
643,3,OUI,0
644,7,NON,-1
645,3,NON,-1
646,2,OUI,16
647,4,OUI,23
648,1,OUI,4
649,6,NON,-1
650,2,NON,-1
651,7,OUI,0
652,5,OUI,14
653,5,OUI,2
654,7,OUI,0
655,4,OUI,19
656,0,OUI,0
657,2,NON,-1
658,6,NON,-1
659,3,NON,-1
660,6,NON,-1
661,4,NON,-1
662,0,OUI,2
663,4,OUI,21
664,2,OUI,21
665,6,NON,-1
666,0,NON,-1
667,0,NON,-1
668,0,OUI,2
669,0,OUI,3
670,3,OUI,0
671,1,OUI,9
672,6,NON,-1
673,2,OUI,3
674,2,NON,-1
675,3,NON,-1
676,1,OUI,12
677,4,OUI,0
678,1,OUI,4
679,5,OUI,4
680,4,OUI,28
681,6,NON,-1
682,4,OUI,3
683,7,OUI,0
684,2,NON,-1
685,8,OUI,11
686,7,OUI,0
687,9,NON,-1
688,2,NON,-1
689,0,OUI,2
690,5,OUI,0
691,1,OUI,2
692,4,NON,-1
693,2,NON,-1
694,8,NON,-1
695,3,NON,-1
696,2,OUI,0
697,4,OUI,1
698,1,NON,-1
699,5,OUI,0
700,4,OUI,3
701,6,NON,-1
702,0,NON,-1
703,7,NON,-1
704,9,NON,-1
705,8,NON,-1
706,4,OUI,0
707,9,NON,-1
708,8,OUI,1
709,0,OUI,15
710,1,NON,-1
711,1,NON,-1
712,0,NON,-1
713,2,NON,-1
714,2,OUI,6
715,3,NON,-1
716,2,NON,-1
717,4,OUI,1
718,4,NON,-1
719,5,NON,-1
720,8,NON,-1
721,6,NON,-1
722,5,OUI,0
723,7,NON,-1
724,7,NON,-1
725,8,NON,-1
726,8,OUI,2
727,9,NON,-1
728,7,NON,-1
729,4,OUI,1
730,7,NON,-1
731,3,OUI,0
732,2,OUI,8
733,0,OUI,3
734,8,NON,-1
735,6,NON,-1
736,8,NON,-1
737,6,OUI,0
738,1,OUI,2
739,6,NON,-1
740,8,NON,-1
741,9,NON,-1
742,4,OUI,15
743,0,OUI,13
744,9,NON,-1
745,0,NON,-1
746,4,NON,-1
747,1,NON,-1
748,5,OUI,24
749,4,OUI,1
750,7,NON,-1
751,5,OUI,4
752,3,OUI,26
753,7,NON,-1
754,4,NON,-1
755,9,NON,-1
756,8,NON,-1
757,5,OUI,4
758,8,NON,-1
759,6,NON,-1
760,3,NON,-1
761,8,NON,-1
762,6,NON,-1
763,9,NON,-1
764,9,NON,-1
765,1,OUI,17
766,8,OUI,5
767,3,NON,-1
768,5,OUI,3
769,8,NON,-1
770,6,NON,-1
771,5,OUI,4
772,9,NON,-1
773,7,NON,-1
774,2,NON,-1
775,5,NON,-1
776,0,OUI,3
777,8,NON,-1
778,5,OUI,4
779,1,OUI,6
780,1,NON,-1
781,0,OUI,5
782,9,NON,-1
783,1,NON,-1
784,8,OUI,7
785,6,NON,-1
786,7,NON,-1
787,0,NON,-1
788,9,NON,-1
789,3,OUI,0
790,0,OUI,3
791,8,NON,-1
792,8,NON,-1
793,9,NON,-1
794,6,NON,-1
795,7,OUI,0
796,8,OUI,6
797,4,OUI,5
798,7,NON,-1
799,5,NON,-1
800,9,NON,-1
801,2,OUI,2
802,6,NON,-1
803,7,NON,-1
804,4,NON,-1
805,5,NON,-1
806,9,OUI,1
807,2,OUI,16
808,3,NON,-1
809,1,OUI,2
810,6,OUI,1
811,3,OUI,0
812,9,NON,-1
813,2,OUI,3
814,2,OUI,0
815,5,OUI,4
816,6,NON,-1
817,8,OUI,4
818,0,OUI,2
819,7,OUI,0
820,7,OUI,0
821,1,NON,-1
822,9,NON,-1
823,8,NON,-1
824,7,NON,-1
825,0,OUI,25
826,9,NON,-1
827,9,NON,-1
828,4,NON,-1
829,6,NON,-1
830,2,OUI,2
831,8,OUI,2
832,5,NON,-1
833,1,OUI,16
834,4,NON,-1
835,1,NON,-1
836,5,NON,-1
837,5,OUI,4
838,1,OUI,6
839,7,NON,-1
840,3,OUI,21
841,6,NON,-1
842,4,NON,-1
843,3,NON,-1
844,2,OUI,18
845,5,NON,-1
846,6,OUI,1
847,4,OUI,26
848,4,NON,-1
849,0,NON,-1
850,4,NON,-1
851,4,OUI,14
852,6,NON,-1
853,7,OUI,0
854,2,NON,-1
855,4,OUI,11
856,3,NON,-1
857,3,NON,-1
858,8,OUI,5
859,0,NON,-1
860,0,OUI,3
861,3,NON,-1
862,2,NON,-1
863,2,OUI,1
864,9,OUI,2
865,8,NON,-1
866,2,OUI,9
867,3,NON,-1
868,7,OUI,7
869,0,OUI,16
870,1,OUI,10
871,1,NON,-1
872,0,NON,-1
873,2,NON,-1
874,3,OUI,0
875,3,NON,-1
876,8,NON,-1
877,4,NON,-1
878,3,OUI,0
879,5,NON,-1
880,7,NON,-1
881,6,NON,-1
882,4,NON,-1
883,7,NON,-1
884,7,NON,-1
885,8,NON,-1
886,5,NON,-1
887,9,OUI,3
888,7,OUI,0
889,0,NON,-1
890,3,NON,-1
891,1,NON,-1
892,6,NON,-1
893,2,NON,-1
894,4,OUI,8
895,3,OUI,0
896,4,NON,-1
897,4,OUI,2
898,7,OUI,0
899,5,NON,-1
900,9,NON,-1
901,6,NON,-1
902,9,NON,-1
903,0,NON,-1
904,7,OUI,0
905,1,NON,-1
906,4,OUI,43
907,2,NON,-1
908,7,OUI,0
909,3,OUI,0
910,6,NON,-1
911,7,OUI,0
912,5,NON,-1
913,8,NON,-1
914,4,NON,-1
915,5,NON,-1
916,5,NON,-1
917,2,NON,-1
918,7,NON,-1
919,1,NON,-1
920,1,OUI,2
921,5,NON,-1
922,6,NON,-1
923,8,OUI,6
924,5,NON,-1
925,8,NON,-1
926,4,OUI,0
927,0,OUI,4
928,7,OUI,1
929,9,OUI,4
930,9,OUI,1
931,2,NON,-1
932,9,NON,-1
933,7,OUI,0
934,7,NON,-1
935,8,NON,-1
936,7,NON,-1
937,4,OUI,1
938,2,OUI,1
939,6,NON,-1
940,9,NON,-1
941,1,OUI,21
942,7,OUI,1
943,0,OUI,23
944,6,NON,-1
945,4,OUI,1
946,2,OUI,0
947,5,NON,-1
948,7,OUI,0
949,0,OUI,0
950,7,OUI,0
951,1,NON,-1
952,0,OUI,0
953,3,OUI,0
954,7,OUI,0
955,6,NON,-1
956,5,NON,-1
957,0,OUI,19
958,6,OUI,0
959,1,NON,-1
960,5,NON,-1
961,1,OUI,4
962,7,OUI,10
963,8,NON,-1
964,5,NON,-1
965,0,NON,-1
966,3,NON,-1
967,4,OUI,1
968,7,NON,-1
969,7,OUI,0
970,5,OUI,9
971,7,OUI,0
972,8,NON,-1
973,6,NON,-1
974,9,NON,-1
975,3,OUI,0
976,8,NON,-1
977,6,NON,-1
978,1,OUI,12
979,0,NON,-1
980,9,NON,-1
981,7,OUI,0
982,1,OUI,0
983,3,OUI,0
984,0,NON,-1
985,5,NON,-1
986,6,NON,-1
987,4,OUI,24
988,4,NON,-1
989,2,NON,-1
990,4,NON,-1
991,4,OUI,4
992,3,OUI,19
993,1,NON,-1
994,7,NON,-1
995,7,NON,-1
996,6,OUI,0
997,0,OUI,3
998,3,OUI,0
999,6,NON,-1
1000,0,OUI,0
1001,7,NON,-1
1002,1,OUI,6
1003,1,NON,-1
1004,4,NON,-1
1005,9,OUI,6
1006,4,NON,-1
1007,3,NON,-1
1008,4,OUI,3
1009,8,NON,-1
1010,2,NON,-1
1011,2,OUI,33
1012,1,OUI,5
1013,8,NON,-1
1014,7,NON,-1
1015,0,NON,-1
1016,8,NON,-1
1017,1,OUI,4
1018,0,OUI,1
1019,7,OUI,1
1020,6,NON,-1
1021,3,OUI,1
1022,7,NON,-1
1023,7,NON,-1
1024,5,NON,-1
1025,8,NON,-1
1026,8,OUI,0
1027,9,NON,-1
1028,0,NON,-1
1029,0,NON,-1
1030,4,OUI,4
1031,1,NON,-1
1032,5,OUI,2
1033,2,NON,-1
1034,2,OUI,3
1035,3,OUI,5
1036,9,NON,-1
1037,4,NON,-1
1038,9,NON,-1
1039,5,OUI,5
1040,0,NON,-1
1041,6,NON,-1
1042,7,OUI,0
1043,7,NON,-1
1044,1,OUI,9
1045,8,OUI,1
1046,0,OUI,1
1047,2,NON,-1
1048,2,NON,-1
1049,0,OUI,14
1050,4,NON,-1
1051,1,OUI,20
1052,1,NON,-1
1053,2,NON,-1
1054,7,OUI,0
1055,3,NON,-1
1056,9,NON,-1
1057,7,OUI,0
1058,2,OUI,19
1059,8,NON,-1
1060,1,OUI,10
1061,9,NON,-1
1062,5,NON,-1
1063,8,NON,-1
1064,8,NON,-1
1065,1,NON,-1
1066,9,NON,-1
1067,8,OUI,0
1068,3,OUI,17
1069,1,NON,-1
1070,6,OUI,39
1071,5,NON,-1
1072,7,OUI,0
1073,4,OUI,15
1074,2,OUI,0
1075,7,OUI,1
1076,0,OUI,0
1077,3,OUI,0
1078,0,NON,-1
1079,4,OUI,14
1080,1,OUI,12
1081,1,OUI,13
1082,7,OUI,0
1083,9,NON,-1
1084,1,OUI,5
1085,1,NON,-1
1086,8,NON,-1
1087,5,NON,-1
1088,7,OUI,19
1089,5,OUI,2
1090,0,OUI,3
1091,6,NON,-1
1092,6,NON,-1
1093,0,OUI,7
1094,4,NON,-1
1095,1,OUI,6
1096,2,OUI,1
1097,3,OUI,0
1098,4,OUI,0
1099,4,OUI,1
1100,6,OUI,0
1101,8,NON,-1
1102,0,NON,-1
1103,9,NON,-1
1104,5,NON,-1
1105,8,NON,-1
1106,7,NON,-1
1107,0,OUI,3
1108,3,NON,-1
1109,5,NON,-1
1110,4,OUI,1
1111,5,NON,-1
1112,9,NON,-1
1113,6,NON,-1
1114,7,OUI,2
1115,1,NON,-1
1116,9,NON,-1
1117,6,NON,-1
1118,1,OUI,15
1119,3,NON,-1
1120,8,NON,-1
1121,3,OUI,5
1122,9,OUI,0
1123,1,NON,-1
1124,2,OUI,6
1125,7,NON,-1
1126,7,OUI,0
1127,7,OUI,10
1128,0,NON,-1
1129,2,OUI,3
1130,3,OUI,13
1131,1,OUI,14
1132,1,OUI,17
1133,4,OUI,1
1134,2,NON,-1
1135,5,NON,-1
1136,6,OUI,1
1137,0,NON,-1
1138,9,NON,-1
1139,6,NON,-1
1140,2,NON,-1
1141,8,NON,-1
1142,9,NON,-1
1143,2,OUI,19
1144,3,OUI,20
1145,3,NON,-1
1146,6,NON,-1
1147,9,OUI,0
1148,1,OUI,0
1149,4,NON,-1
1150,3,OUI,26
1151,3,OUI,1
1152,0,OUI,1
1153,7,OUI,0
1154,7,OUI,13
1155,1,NON,-1
1156,7,OUI,0
1157,7,NON,-1
1158,3,OUI,35
1159,6,NON,-1
1160,4,NON,-1
1161,9,NON,-1
1162,5,OUI,16
1163,4,OUI,1
1164,4,NON,-1
1165,2,OUI,5
1166,7,NON,-1
1167,9,OUI,3
1168,0,OUI,0
1169,9,OUI,10
1170,8,OUI,0
1171,4,OUI,18
1172,4,NON,-1
1173,9,OUI,0
1174,1,NON,-1
1175,2,NON,-1
1176,4,NON,-1
1177,9,OUI,0
1178,3,NON,-1
1179,0,OUI,4
1180,4,OUI,34
1181,1,OUI,3
1182,6,NON,-1
1183,2,NON,-1
1184,6,OUI,1
1185,3,OUI,1
1186,7,OUI,0
1187,4,OUI,30
1188,2,NON,-1
1189,6,NON,-1
1190,6,NON,-1
1191,7,NON,-1
1192,1,OUI,6
1193,8,NON,-1
1194,9,NON,-1
1195,0,NON,-1
1196,4,NON,-1
1197,1,OUI,22
1198,4,NON,-1
1199,2,NON,-1
1200,1,OUI,13
1201,3,NON,-1
1202,6,NON,-1
1203,4,NON,-1
1204,6,NON,-1
1205,7,NON,-1
1206,5,NON,-1
1207,8,NON,-1
1208,7,OUI,0
1209,0,NON,-1
1210,5,OUI,0
1211,1,OUI,22
1212,4,OUI,0
1213,2,OUI,10
1214,8,OUI,5
1215,4,OUI,0
1216,7,NON,-1
1217,7,NON,-1
1218,3,OUI,0
1219,8,NON,-1
1220,4,OUI,0
1221,9,OUI,0
1222,5,NON,-1
1223,8,NON,-1
1224,6,OUI,4
1225,7,OUI,0
1226,3,OUI,0
1227,4,OUI,13
1228,6,NON,-1
1229,7,OUI,2
1230,1,OUI,11
1231,7,OUI,0
1232,4,OUI,1
1233,3,NON,-1
1234,3,NON,-1
1235,9,NON,-1
1236,8,NON,-1
1237,8,OUI,0
1238,1,NON,-1
1239,8,NON,-1
1240,6,OUI,0
1241,3,NON,-1
1242,1,NON,-1
1243,1,NON,-1
1244,3,NON,-1
1245,5,NON,-1
1246,2,OUI,3
1247,8,NON,-1
1248,4,OUI,3
1249,2,NON,-1
1250,9,OUI,0
1251,7,OUI,0
1252,1,NON,-1
1253,4,NON,-1
1254,8,OUI,0
1255,2,OUI,11
1256,9,NON,-1
1257,6,NON,-1
1258,4,NON,-1
1259,1,OUI,11
1260,3,NON,-1
1261,4,NON,-1
1262,2,OUI,2
1263,5,OUI,6
1264,2,NON,-1
1265,5,OUI,8
1266,6,NON,-1
1267,8,OUI,1
1268,0,OUI,0
1269,6,OUI,0
1270,2,NON,-1
1271,4,NON,-1
1272,9,NON,-1
1273,4,OUI,1
1274,9,OUI,1
1275,4,OUI,28
1276,5,NON,-1
1277,1,OUI,18
1278,5,NON,-1
1279,8,NON,-1
1280,4,OUI,7
1281,7,OUI,0
1282,9,NON,-1
1283,5,OUI,28
1284,9,OUI,2
1285,5,NON,-1
1286,9,NON,-1
1287,1,NON,-1
1288,5,NON,-1
1289,8,NON,-1
1290,3,OUI,11
1291,9,OUI,0
1292,9,OUI,2
1293,1,OUI,6
1294,8,NON,-1
1295,3,NON,-1
1296,8,NON,-1
1297,6,NON,-1
1298,5,NON,-1
1299,2,NON,-1
1300,7,OUI,1
1301,2,OUI,26
1302,7,OUI,1
1303,6,NON,-1
1304,0,NON,-1
1305,9,OUI,0
1306,7,OUI,0
1307,9,OUI,0
1308,4,NON,-1
1309,6,NON,-1
1310,0,NON,-1
1311,5,NON,-1
1312,3,OUI,0
1313,5,OUI,4
1314,7,NON,-1
1315,3,OUI,5
1316,9,NON,-1
1317,3,OUI,3
1318,6,NON,-1
1319,8,NON,-1
1320,3,OUI,0
1321,1,OUI,28
1322,7,NON,-1
1323,6,NON,-1
1324,5,OUI,3
1325,5,NON,-1
1326,7,OUI,1
1327,6,NON,-1
1328,5,NON,-1
1329,8,NON,-1
1330,2,OUI,3
1331,1,NON,-1
1332,7,OUI,0
1333,9,NON,-1
1334,2,OUI,14
1335,7,OUI,1
1336,3,OUI,5
1337,6,NON,-1
1338,7,OUI,5
1339,8,NON,-1
1340,5,OUI,2
1341,3,OUI,7
1342,7,NON,-1
1343,7,NON,-1
1344,8,OUI,1
1345,4,NON,-1
1346,0,OUI,2
1347,7,OUI,2
1348,3,OUI,0
1349,0,OUI,1
1350,6,NON,-1
1351,3,NON,-1
1352,9,NON,-1
1353,7,NON,-1
1354,1,NON,-1
1355,9,NON,-1
1356,5,NON,-1
1357,3,NON,-1
